Date,Région,Maladie,Sexe,Tranche_d_âge,Nombre_de_cas
2024-01-19,Mbuji-Mayi,COVID-19,Féminin,18-35,11
2024-01-19,Lubumbashi,Paludisme,Féminin,60+,19
2024-01-19,Kinshasa,Choléra,Féminin,6-17,17
2024-01-19,Lubumbashi,COVID-19,Masculin,6-17,6
2024-01-19,Kisangani,Tuberculose,Masculin,36-60,16
2024-01-20,Goma,Paludisme,Masculin,60+,3
2024-01-20,Goma,Paludisme,Féminin,0-5,8
2024-01-20,Kinshasa,COVID-19,Féminin,0-5,11
2024-01-20,Goma,Tuberculose,Masculin,36-60,19
2024-01-20,Mbuji-Mayi,COVID-19,Masculin,6-17,1
2024-01-20,Mbuji-Mayi,Paludisme,Masculin,0-5,13
2024-01-20,Kisangani,Paludisme,Masculin,18-35,1
2024-01-20,Goma,Paludisme,Féminin,60+,19
2024-01-20,Kisangani,COVID-19,Masculin,0-5,5
2024-01-20,Kisangani,Tuberculose,Féminin,6-17,18
2024-01-20,Goma,Paludisme,Masculin,36-60,13
2024-01-20,Lubumbashi,COVID-19,Masculin,36-60,5
2024-01-20,Mbuji-Mayi,Choléra,Féminin,0-5,5
2024-01-21,Mbuji-Mayi,Rougeole,Féminin,36-60,11
2024-01-21,Kisangani,COVID-19,Féminin,6-17,6
2024-01-21,Goma,Rougeole,Féminin,36-60,20
2024-01-21,Mbuji-Mayi,Rougeole,Masculin,6-17,16
2024-01-21,Kinshasa,Tuberculose,Masculin,18-35,13
2024-01-21,Lubumbashi,COVID-19,Féminin,36-60,12
2024-01-21,Kinshasa,Rougeole,Masculin,36-60,15
2024-01-21,Kinshasa,Tuberculose,Féminin,60+,19
2024-01-21,Goma,Tuberculose,Masculin,6-17,5
2024-01-21,Lubumbashi,Tuberculose,Féminin,18-35,13
2024-01-21,Kinshasa,Choléra,Féminin,60+,4
2024-01-21,Kisangani,Rougeole,Masculin,18-35,16
2024-01-22,Lubumbashi,COVID-19,Féminin,6-17,1
2024-01-22,Kinshasa,Rougeole,Féminin,6-17,5
2024-01-22,Lubumbashi,Tuberculose,Féminin,18-35,11
2024-01-22,Kisangani,Choléra,Féminin,6-17,14
2024-01-22,Lubumbashi,Rougeole,Féminin,18-35,6
2024-01-22,Kisangani,Choléra,Féminin,18-35,17
2024-01-22,Lubumbashi,Choléra,Masculin,36-60,15
2024-01-23,Mbuji-Mayi,Tuberculose,Masculin,60+,17
2024-01-23,Kisangani,COVID-19,Masculin,36-60,12
2024-01-23,Kinshasa,Choléra,Féminin,6-17,6
2024-01-23,Kisangani,Rougeole,Masculin,18-35,12
2024-01-23,Lubumbashi,COVID-19,Masculin,36-60,11
2024-01-23,Goma,Tuberculose,Masculin,36-60,6
2024-01-23,Goma,Choléra,Féminin,36-60,15
2024-01-23,Mbuji-Mayi,Choléra,Masculin,60+,5
2024-01-23,Lubumbashi,COVID-19,Féminin,6-17,5
2024-01-23,Kisangani,Paludisme,Féminin,60+,3
2024-01-23,Lubumbashi,Paludisme,Masculin,36-60,15
2024-01-23,Lubumbashi,Rougeole,Masculin,60+,11
2024-01-23,Goma,Choléra,Masculin,6-17,19
2024-01-23,Lubumbashi,Paludisme,Féminin,60+,9
2024-01-23,Kisangani,COVID-19,Masculin,18-35,3
2024-01-24,Kinshasa,Rougeole,Féminin,18-35,8
2024-01-24,Kisangani,Paludisme,Masculin,0-5,6
2024-01-24,Kinshasa,Rougeole,Féminin,18-35,13
2024-01-24,Lubumbashi,Rougeole,Féminin,36-60,19
2024-01-24,Lubumbashi,Tuberculose,Féminin,36-60,4
2024-01-24,Lubumbashi,Paludisme,Féminin,6-17,16
2024-01-24,Goma,Paludisme,Masculin,6-17,5
2024-01-24,Kinshasa,Paludisme,Masculin,0-5,13
2024-01-25,Goma,COVID-19,Masculin,60+,17
2024-01-25,Kinshasa,COVID-19,Féminin,18-35,19
2024-01-25,Goma,COVID-19,Féminin,36-60,12
2024-01-25,Goma,Tuberculose,Masculin,18-35,7
2024-01-25,Goma,Choléra,Féminin,0-5,17
2024-01-26,Kinshasa,Choléra,Masculin,0-5,19
2024-01-26,Lubumbashi,Tuberculose,Masculin,60+,12
2024-01-26,Lubumbashi,Choléra,Féminin,6-17,11
2024-01-26,Mbuji-Mayi,COVID-19,Masculin,0-5,7
2024-01-26,Kisangani,Rougeole,Féminin,0-5,11
2024-01-26,Kisangani,Rougeole,Féminin,60+,6
2024-01-26,Mbuji-Mayi,Paludisme,Féminin,0-5,6
2024-01-26,Kinshasa,Tuberculose,Masculin,6-17,14
2024-01-26,Lubumbashi,Paludisme,Féminin,6-17,5
2024-01-26,Lubumbashi,Choléra,Féminin,18-35,18
2024-01-26,Lubumbashi,Choléra,Féminin,0-5,4
2024-01-26,Lubumbashi,Paludisme,Masculin,6-17,14
2024-01-26,Kinshasa,COVID-19,Féminin,6-17,6
2024-01-26,Kisangani,Choléra,Féminin,18-35,14
2024-01-27,Mbuji-Mayi,Choléra,Masculin,6-17,13
2024-01-27,Kisangani,COVID-19,Féminin,18-35,3
2024-01-27,Mbuji-Mayi,COVID-19,Féminin,0-5,20
2024-01-27,Goma,Choléra,Féminin,18-35,20
2024-01-27,Kisangani,Tuberculose,Féminin,0-5,5
2024-01-27,Lubumbashi,Tuberculose,Masculin,36-60,12
2024-01-27,Kinshasa,Rougeole,Masculin,18-35,15
2024-01-27,Kinshasa,Tuberculose,Masculin,18-35,14
2024-01-27,Goma,Paludisme,Masculin,18-35,7
2024-01-27,Goma,Tuberculose,Féminin,6-17,18
2024-01-27,Kinshasa,Rougeole,Masculin,18-35,11
2024-01-27,Mbuji-Mayi,Paludisme,Masculin,18-35,20
2024-01-27,Kinshasa,Choléra,Féminin,18-35,11
2024-01-27,Kisangani,COVID-19,Masculin,18-35,16
2024-01-27,Kisangani,Choléra,Féminin,0-5,6
2024-01-28,Kinshasa,Paludisme,Féminin,18-35,8
2024-01-28,Goma,Choléra,Masculin,36-60,9
2024-01-28,Mbuji-Mayi,Tuberculose,Féminin,36-60,2
2024-01-28,Mbuji-Mayi,Rougeole,Masculin,0-5,18
2024-01-28,Mbuji-Mayi,Choléra,Masculin,60+,18
2024-01-28,Kinshasa,Choléra,Masculin,60+,12
2024-01-29,Kisangani,Paludisme,Masculin,18-35,16
2024-01-29,Goma,Rougeole,Féminin,0-5,1
2024-01-29,Goma,Tuberculose,Masculin,0-5,6
2024-01-29,Kinshasa,Rougeole,Masculin,0-5,3
2024-01-29,Kinshasa,Tuberculose,Féminin,60+,16
2024-01-29,Lubumbashi,COVID-19,Féminin,18-35,6
2024-01-29,Kisangani,Rougeole,Féminin,36-60,6
2024-01-29,Kinshasa,Rougeole,Féminin,60+,5
2024-01-29,Mbuji-Mayi,Rougeole,Féminin,0-5,6
2024-01-30,Goma,COVID-19,Masculin,36-60,4
2024-01-30,Kisangani,Paludisme,Féminin,36-60,10
2024-01-30,Mbuji-Mayi,Tuberculose,Masculin,18-35,12
2024-01-30,Lubumbashi,Tuberculose,Féminin,0-5,17
2024-01-30,Mbuji-Mayi,Choléra,Masculin,0-5,16
2024-01-30,Goma,Choléra,Féminin,6-17,6
2024-01-30,Lubumbashi,Paludisme,Féminin,18-35,14
2024-01-30,Kinshasa,COVID-19,Féminin,36-60,19
2024-01-30,Lubumbashi,Tuberculose,Féminin,0-5,6
2024-01-30,Goma,Rougeole,Masculin,0-5,20
2024-01-30,Mbuji-Mayi,Paludisme,Féminin,36-60,4
2024-01-30,Kisangani,Tuberculose,Féminin,36-60,14
2024-01-30,Goma,Choléra,Masculin,6-17,9
2024-01-30,Kisangani,Choléra,Masculin,6-17,13
2024-01-30,Lubumbashi,Paludisme,Masculin,18-35,11
2024-01-31,Goma,COVID-19,Féminin,0-5,12
2024-01-31,Kinshasa,COVID-19,Masculin,18-35,3
2024-01-31,Kinshasa,Paludisme,Masculin,60+,9
2024-01-31,Lubumbashi,Tuberculose,Féminin,18-35,17
2024-01-31,Goma,Paludisme,Féminin,18-35,11
2024-01-31,Mbuji-Mayi,Tuberculose,Féminin,60+,19
2024-02-01,Mbuji-Mayi,Rougeole,Masculin,6-17,18
2024-02-01,Lubumbashi,Choléra,Féminin,60+,3
2024-02-01,Kisangani,COVID-19,Masculin,0-5,16
2024-02-01,Kisangani,Rougeole,Féminin,18-35,4
2024-02-01,Kisangani,Choléra,Masculin,6-17,3
2024-02-01,Kinshasa,Tuberculose,Féminin,60+,11
2024-02-02,Mbuji-Mayi,COVID-19,Féminin,36-60,17
2024-02-02,Mbuji-Mayi,Choléra,Féminin,60+,8
2024-02-02,Mbuji-Mayi,Rougeole,Féminin,18-35,4
2024-02-02,Kinshasa,Choléra,Masculin,60+,8
2024-02-02,Mbuji-Mayi,COVID-19,Féminin,60+,18
2024-02-02,Kinshasa,COVID-19,Masculin,60+,20
2024-02-02,Kisangani,Tuberculose,Féminin,6-17,7
2024-02-02,Mbuji-Mayi,Tuberculose,Féminin,36-60,8
2024-02-02,Kinshasa,Tuberculose,Masculin,18-35,5
2024-02-02,Mbuji-Mayi,Tuberculose,Masculin,60+,9
2024-02-02,Goma,Paludisme,Féminin,18-35,12
2024-02-02,Kinshasa,COVID-19,Masculin,18-35,13
2024-02-02,Lubumbashi,Paludisme,Féminin,6-17,3
2024-02-02,Kinshasa,Choléra,Masculin,60+,19
2024-02-02,Goma,COVID-19,Masculin,18-35,20
2024-02-03,Kinshasa,Paludisme,Féminin,0-5,19
2024-02-03,Mbuji-Mayi,Paludisme,Féminin,18-35,9
2024-02-03,Lubumbashi,Paludisme,Masculin,0-5,14
2024-02-03,Lubumbashi,Tuberculose,Féminin,18-35,10
2024-02-03,Goma,COVID-19,Masculin,36-60,16
2024-02-03,Kinshasa,Choléra,Masculin,0-5,11
2024-02-03,Kinshasa,COVID-19,Masculin,6-17,19
2024-02-03,Lubumbashi,Choléra,Féminin,36-60,19
2024-02-03,Kisangani,Choléra,Féminin,36-60,5
2024-02-03,Mbuji-Mayi,Rougeole,Féminin,0-5,7
2024-02-03,Kinshasa,COVID-19,Masculin,18-35,9
2024-02-03,Kisangani,COVID-19,Féminin,60+,20
2024-02-03,Lubumbashi,Tuberculose,Masculin,36-60,1
2024-02-04,Goma,Tuberculose,Féminin,0-5,13
2024-02-04,Mbuji-Mayi,Rougeole,Féminin,18-35,4
2024-02-04,Lubumbashi,Tuberculose,Féminin,18-35,6
2024-02-04,Kisangani,Paludisme,Féminin,60+,12
2024-02-04,Goma,Paludisme,Féminin,18-35,1
2024-02-04,Kinshasa,Choléra,Féminin,6-17,2
2024-02-04,Kisangani,COVID-19,Masculin,6-17,20
2024-02-04,Goma,Tuberculose,Masculin,18-35,6
2024-02-04,Kisangani,COVID-19,Masculin,18-35,6
2024-02-04,Mbuji-Mayi,Choléra,Féminin,6-17,20
2024-02-04,Lubumbashi,Rougeole,Féminin,60+,16
2024-02-04,Mbuji-Mayi,Choléra,Féminin,36-60,20
2024-02-04,Kinshasa,COVID-19,Masculin,6-17,10
2024-02-04,Goma,Rougeole,Masculin,60+,19
2024-02-04,Mbuji-Mayi,Rougeole,Masculin,0-5,12
2024-02-05,Kisangani,Paludisme,Féminin,6-17,18
2024-02-05,Kisangani,Rougeole,Masculin,36-60,6
2024-02-05,Kisangani,Rougeole,Masculin,60+,4
2024-02-05,Lubumbashi,Paludisme,Féminin,60+,2
2024-02-05,Kinshasa,COVID-19,Masculin,60+,5
2024-02-05,Kinshasa,Paludisme,Féminin,36-60,18
2024-02-05,Kinshasa,Rougeole,Féminin,36-60,13
2024-02-05,Kisangani,Tuberculose,Féminin,18-35,14
2024-02-05,Lubumbashi,Tuberculose,Masculin,0-5,3
2024-02-05,Kisangani,COVID-19,Féminin,18-35,5
2024-02-05,Kinshasa,Rougeole,Féminin,60+,5
2024-02-05,Mbuji-Mayi,COVID-19,Féminin,60+,3
2024-02-05,Mbuji-Mayi,COVID-19,Masculin,6-17,17
2024-02-05,Kisangani,COVID-19,Féminin,60+,10
2024-02-05,Lubumbashi,Rougeole,Masculin,60+,6
2024-02-06,Kisangani,Rougeole,Masculin,6-17,15
2024-02-06,Goma,Choléra,Féminin,0-5,20
2024-02-06,Lubumbashi,Paludisme,Féminin,36-60,20
2024-02-06,Lubumbashi,COVID-19,Masculin,18-35,7
2024-02-06,Kinshasa,Paludisme,Féminin,6-17,3
2024-02-06,Kinshasa,COVID-19,Masculin,36-60,16
2024-02-06,Kisangani,Paludisme,Féminin,0-5,15
2024-02-06,Mbuji-Mayi,Tuberculose,Masculin,6-17,10
2024-02-06,Kisangani,Tuberculose,Féminin,18-35,2
2024-02-07,Kisangani,Tuberculose,Masculin,18-35,7
2024-02-07,Goma,Rougeole,Féminin,6-17,11
2024-02-07,Kinshasa,Choléra,Masculin,6-17,2
2024-02-07,Kinshasa,Paludisme,Masculin,0-5,6
2024-02-07,Lubumbashi,Rougeole,Masculin,0-5,15
2024-02-08,Kisangani,Tuberculose,Féminin,36-60,3
2024-02-08,Lubumbashi,Choléra,Féminin,18-35,12
2024-02-08,Lubumbashi,Tuberculose,Masculin,18-35,10
2024-02-08,Kinshasa,COVID-19,Féminin,0-5,18
2024-02-08,Lubumbashi,Paludisme,Masculin,36-60,9
2024-02-08,Lubumbashi,COVID-19,Masculin,18-35,14
2024-02-08,Lubumbashi,Paludisme,Masculin,6-17,17
2024-02-08,Kinshasa,Paludisme,Féminin,0-5,11
2024-02-08,Lubumbashi,Rougeole,Masculin,0-5,6
2024-02-08,Kinshasa,COVID-19,Masculin,60+,20
2024-02-08,Kisangani,COVID-19,Masculin,6-17,3
2024-02-08,Goma,COVID-19,Féminin,0-5,10
2024-02-08,Goma,Tuberculose,Féminin,36-60,20
2024-02-08,Goma,COVID-19,Masculin,36-60,8
2024-02-08,Goma,Choléra,Féminin,36-60,5
2024-02-09,Kinshasa,Paludisme,Féminin,18-35,1
2024-02-09,Mbuji-Mayi,Rougeole,Masculin,60+,12
2024-02-09,Goma,COVID-19,Masculin,18-35,3
2024-02-09,Kinshasa,Choléra,Féminin,0-5,15
2024-02-09,Kisangani,Paludisme,Féminin,18-35,18
2024-02-09,Goma,Tuberculose,Masculin,0-5,14
2024-02-09,Lubumbashi,Rougeole,Féminin,6-17,17
2024-02-09,Kisangani,Tuberculose,Féminin,6-17,2
2024-02-09,Goma,Choléra,Masculin,18-35,7
2024-02-09,Mbuji-Mayi,Paludisme,Féminin,60+,20
2024-02-09,Lubumbashi,Rougeole,Féminin,0-5,6
2024-02-10,Mbuji-Mayi,Rougeole,Masculin,18-35,5
2024-02-10,Kinshasa,Choléra,Féminin,0-5,6
2024-02-10,Mbuji-Mayi,Choléra,Masculin,0-5,16
2024-02-10,Kinshasa,Tuberculose,Féminin,18-35,10
2024-02-10,Kinshasa,Choléra,Féminin,0-5,20
2024-02-10,Mbuji-Mayi,COVID-19,Masculin,60+,18
2024-02-10,Kisangani,Tuberculose,Masculin,6-17,5
2024-02-10,Goma,COVID-19,Féminin,18-35,19
2024-02-10,Mbuji-Mayi,COVID-19,Féminin,0-5,17
2024-02-10,Goma,Tuberculose,Féminin,18-35,12
2024-02-11,Kinshasa,Choléra,Féminin,18-35,8
2024-02-11,Kinshasa,Tuberculose,Masculin,60+,16
2024-02-11,Lubumbashi,Paludisme,Féminin,18-35,11
2024-02-11,Goma,Rougeole,Masculin,60+,9
2024-02-11,Kinshasa,COVID-19,Féminin,18-35,16
2024-02-11,Goma,Rougeole,Masculin,6-17,18
2024-02-11,Lubumbashi,Choléra,Féminin,6-17,9
2024-02-11,Lubumbashi,Choléra,Masculin,6-17,5
2024-02-11,Kisangani,Paludisme,Masculin,0-5,15
2024-02-12,Lubumbashi,Paludisme,Féminin,60+,12
2024-02-12,Goma,Rougeole,Féminin,6-17,11
2024-02-12,Lubumbashi,Tuberculose,Féminin,0-5,15
2024-02-12,Lubumbashi,Paludisme,Masculin,0-5,20
2024-02-12,Mbuji-Mayi,Choléra,Féminin,0-5,3
2024-02-12,Goma,Rougeole,Masculin,18-35,17
2024-02-13,Mbuji-Mayi,Paludisme,Féminin,60+,14
2024-02-13,Lubumbashi,Rougeole,Féminin,36-60,4
2024-02-13,Goma,Choléra,Féminin,18-35,4
2024-02-13,Lubumbashi,Paludisme,Masculin,60+,7
2024-02-13,Kisangani,COVID-19,Féminin,0-5,19
2024-02-13,Kisangani,Rougeole,Féminin,18-35,5
2024-02-13,Lubumbashi,Choléra,Masculin,6-17,3
2024-02-13,Lubumbashi,COVID-19,Masculin,36-60,1
2024-02-14,Kinshasa,Paludisme,Féminin,6-17,18
2024-02-14,Kisangani,Tuberculose,Masculin,60+,13
2024-02-14,Lubumbashi,Tuberculose,Masculin,6-17,6
2024-02-14,Goma,Tuberculose,Féminin,6-17,1
2024-02-14,Kisangani,Paludisme,Masculin,36-60,9
2024-02-14,Kisangani,COVID-19,Féminin,60+,13
2024-02-14,Mbuji-Mayi,Paludisme,Masculin,60+,7
